Spot,Sample,Day,Location,LocationNum,%AS,Flow (m*s-1)
1,6,5,Brighton,2,81.13,
2,1,5,Brighton,2,97.34,0.01
2,2,5,Brighton,2,88.67,0.01
2,3,5,Brighton,2,95.96,0.01
2,4,5,Brighton,2,92.78,
2,5,5,Brighton,2,94.24,
2,6,5,Brighton,2,93.35,
3,1,5,Brighton,2,93.82,0.01
3,2,5,Brighton,2,97.86,0.00
3,3,5,Brighton,2,92.42,0.00
3,4,5,Brighton,2,88.67,
3,5,5,Brighton,2,78.83,
3,6,5,Brighton,2,77.20,
4,1,5,Brighton,2,80.48,0.00
4,2,5,Brighton,2,77.23,0.00
4,3,5,Brighton,2,88.52,0.00
4,4,5,Brighton,2,83.65,
4,5,5,Brighton,2,84.03,
4,6,5,Brighton,2,76.00,
5,1,5,Brighton,2,96.05,0.01
5,2,5,Brighton,2,94.97,0.01
5,3,5,Brighton,2,76.83,0.01
5,4,5,Brighton,2,69.40,
5,5,5,Brighton,2,89.27,
5,6,5,Brighton,2,92.72,
6,1,5,Brighton,2,97.44,0.02
6,2,5,Brighton,2,85.55,0.00
6,3,5,Brighton,2,82.43,0.02
6,4,5,Brighton,2,86.11,
6,5,5,Brighton,2,70.31,
6,6,5,Brighton,2,91.01,
7,1,5,Brighton,2,57.89,0.01
7,2,5,Brighton,2,80.51,0.00
7,3,5,Brighton,2,72.40,0.00
7,4,5,Brighton,2,71.54,
7,5,5,Brighton,2,90.24,
7,6,5,Brighton,2,62.31,
8,1,5,Brighton,2,66.87,0.00
8,2,5,Brighton,2,91.27,0.02
8,3,5,Brighton,2,88.27,0.02
8,4,5,Brighton,2,33.94,
8,5,5,Brighton,2,52.11,
8,6,5,Brighton,2,68.35,
9,1,5,Brighton,2,92.91,0.01
9,2,5,Brighton,2,85.36,0.01
9,3,5,Brighton,2,56.29,0.01
9,4,5,Brighton,2,65.56,
9,5,5,Brighton,2,48.01,
9,6,5,Brighton,2,62.93,
10,1,5,Brighton,2,78.65,0.02
10,2,5,Brighton,2,81.76,0.02
10,3,5,Brighton,2,75.37,0.02
10,4,5,Brighton,2,86.44,
10,5,5,Brighton,2,42.31,
10,6,5,Brighton,2,81.53,
11,1,5,Brighton,2,68.43,0.03
11,2,5,Brighton,2,66.82,0.02
11,3,5,Brighton,2,92.19,0.02
11,4,5,Brighton,2,84.12,
11,5,5,Brighton,2,70.22,
11,6,5,Brighton,2,56.19,
12,1,5,Brighton,2,85.46,0.01
12,2,5,Brighton,2,83.39,0.01
12,3,5,Brighton,2,85.45,0.01
12,4,5,Brighton,2,84.50,
12,5,5,Brighton,2,85.52,
12,6,5,Brighton,2,68.48,
1,1,1,Queenscliff Pier,5,100.40,0.34
1,2,1,Queenscliff Pier,5,100.17,0.31
1,3,1,Queenscliff Pier,5,100.35,0.31
1,4,1,Queenscliff Pier,5,97.95,
1,5,1,Queenscliff Pier,5,96.45,
1,6,1,Queenscliff Pier,5,98.91,
2,1,1,Queenscliff Pier,5,98.21,0.23
2,2,1,Queenscliff Pier,5,98.47,0.20
2,3,1,Queenscliff Pier,5,98.97,0.23
2,4,1,Queenscliff Pier,5,99.11,
2,5,1,Queenscliff Pier,5,98.70,
2,6,1,Queenscliff Pier,5,99.56,
3,1,1,Queenscliff Pier,5,103.09,0.18
3,2,1,Queenscliff Pier,5,104.68,0.18
3,3,1,Queenscliff Pier,5,104.96,0.20
3,4,1,Queenscliff Pier,5,105.43,
3,5,1,Queenscliff Pier,5,105.59,
3,6,1,Queenscliff Pier,5,105.86,
1,1,2,Queenscliff Pier,5,95.52,0.19
1,2,2,Queenscliff Pier,5,79.18,0.19
1,3,2,Queenscliff Pier,5,96.53,0.18
1,4,2,Queenscliff Pier,5,98.49,
1,5,2,Queenscliff Pier,5,98.75,
1,6,2,Queenscliff Pier,5,98.94,
2,1,2,Queenscliff Pier,5,94.60,0.23
2,2,2,Queenscliff Pier,5,98.67,0.14
2,3,2,Queenscliff Pier,5,88.91,0.26
2,4,2,Queenscliff Pier,5,83.22,
2,5,2,Queenscliff Pier,5,99.04,
2,6,2,Queenscliff Pier,5,99.44,
3,1,2,Queenscliff Pier,5,110.17,0.30
3,2,2,Queenscliff Pier,5,110.93,0.27
3,3,2,Queenscliff Pier,5,111.15,0.27
3,4,2,Queenscliff Pier,5,110.27,
3,5,2,Queenscliff Pier,5,110.14,
3,6,2,Queenscliff Pier,5,110.39,
1,1,3,Queenscliff Pier,5,96.53,0.19
1,2,3,Queenscliff Pier,5,98.88,0.21
1,3,3,Queenscliff Pier,5,87.80,0.19
1,4,3,Queenscliff Pier,5,99.02,
1,5,3,Queenscliff Pier,5,99.33,
1,6,3,Queenscliff Pier,5,99.54,
2,1,3,Queenscliff Pier,5,93.99,0.20
2,2,3,Queenscliff Pier,5,100.37,0.25
2,3,3,Queenscliff Pier,5,100.54,0.22
2,4,3,Queenscliff Pier,5,101.66,
2,5,3,Queenscliff Pier,5,101.94,
2,6,3,Queenscliff Pier,5,102.12,
3,1,3,Queenscliff Pier,5,104.03,0.13
3,2,3,Queenscliff Pier,5,110.06,0.10
3,3,3,Queenscliff Pier,5,110.61,0.11
3,4,3,Queenscliff Pier,5,110.09,
3,5,3,Queenscliff Pier,5,113.63,
3,6,3,Queenscliff Pier,5,111.41,
1,1,4,Queenscliff Pier,5,101.10,0.10
1,2,4,Queenscliff Pier,5,102.08,0.11
1,3,4,Queenscliff Pier,5,103.23,0.10
1,4,4,Queenscliff Pier,5,101.69,
1,5,4,Queenscliff Pier,5,102.12,
1,6,4,Queenscliff Pier,5,103.15,
2,1,4,Queenscliff Pier,5,101.81,0.10
2,2,4,Queenscliff Pier,5,101.77,0.07
2,3,4,Queenscliff Pier,5,102.38,0.17
2,4,4,Queenscliff Pier,5,101.34,
2,5,4,Queenscliff Pier,5,101.43,
2,6,4,Queenscliff Pier,5,103.17,
3,1,4,Queenscliff Pier,5,99.64,0.11
3,2,4,Queenscliff Pier,5,101.09,0.12
3,3,4,Queenscliff Pier,5,99.64,0.12
3,4,4,Queenscliff Pier,5,100.80,
3,5,4,Queenscliff Pier,5,100.98,
3,6,4,Queenscliff Pier,5,108.80,
1,1,5,Queenscliff Pier,5,102.04,0.18
1,2,5,Queenscliff Pier,5,100.92,0.17
1,3,5,Queenscliff Pier,5,94.83,0.18
1,4,5,Queenscliff Pier,5,62.72,
1,5,5,Queenscliff Pier,5,101.99,
1,6,5,Queenscliff Pier,5,95.11,
2,1,5,Queenscliff Pier,5,100.23,0.15
2,2,5,Queenscliff Pier,5,100.33,0.14
2,3,5,Queenscliff Pier,5,101.11,0.20
2,4,5,Queenscliff Pier,5,100.48,
2,5,5,Queenscliff Pier,5,100.51,
2,6,5,Queenscliff Pier,5,101.66,
3,1,5,Queenscliff Pier,5,99.63,0.22
3,2,5,Queenscliff Pier,5,101.09,0.24
3,3,5,Queenscliff Pier,5,100.51,0.26
3,4,5,Queenscliff Pier,5,100.98,
3,5,5,Queenscliff Pier,5,100.93,
3,6,5,Queenscliff Pier,5,101.14,
1,1,1,Queenscliff Harbour,4,90.89,0.01
1,2,1,Queenscliff Harbour,4,96.02,0.03
1,3,1,Queenscliff Harbour,4,98.66,0.02
1,4,1,Queenscliff Harbour,4,94.67,
1,5,1,Queenscliff Harbour,4,95.59,
1,6,1,Queenscliff Harbour,4,98.20,
2,1,1,Queenscliff Harbour,4,99.77,0.03
2,2,1,Queenscliff Harbour,4,93.72,0.02
2,3,1,Queenscliff Harbour,4,102.83,0.02
2,4,1,Queenscliff Harbour,4,107.32,
2,5,1,Queenscliff Harbour,4,101.73,
2,6,1,Queenscliff Harbour,4,104.58,
3,1,1,Queenscliff Harbour,4,97.53,0.01
3,2,1,Queenscliff Harbour,4,94.66,0.02
3,3,1,Queenscliff Harbour,4,69.53,0.01
3,4,1,Queenscliff Harbour,4,45.05,
3,5,1,Queenscliff Harbour,4,94.68,
3,6,1,Queenscliff Harbour,4,103.74,
4,1,1,Queenscliff Harbour,4,100.85,0.02
4,2,1,Queenscliff Harbour,4,105.45,0.01
4,3,1,Queenscliff Harbour,4,107.72,0.01
4,4,1,Queenscliff Harbour,4,104.34,
4,5,1,Queenscliff Harbour,4,99.71,
4,6,1,Queenscliff Harbour,4,102.06,
5,1,1,Queenscliff Harbour,4,100.90,0.02
5,2,1,Queenscliff Harbour,4,103.35,0.03
5,3,1,Queenscliff Harbour,4,100.29,0.02
5,4,1,Queenscliff Harbour,4,103.31,
5,5,1,Queenscliff Harbour,4,103.04,
5,6,1,Queenscliff Harbour,4,101.63,
6,1,1,Queenscliff Harbour,4,32.13,0.01
6,2,1,Queenscliff Harbour,4,97.31,0.06
6,3,1,Queenscliff Harbour,4,96.40,0.04
6,4,1,Queenscliff Harbour,4,41.30,
6,5,1,Queenscliff Harbour,4,106.28,
6,6,1,Queenscliff Harbour,4,104.25,
7,1,1,Queenscliff Harbour,4,69.65,0.03
7,2,1,Queenscliff Harbour,4,95.17,0.02
7,3,1,Queenscliff Harbour,4,100.38,0.03
7,4,1,Queenscliff Harbour,4,98.57,
7,5,1,Queenscliff Harbour,4,94.51,
7,6,1,Queenscliff Harbour,4,98.36,
8,1,1,Queenscliff Harbour,4,111.51,0.02
8,2,1,Queenscliff Harbour,4,112.84,0.03
8,3,1,Queenscliff Harbour,4,118.87,0.02
8,4,1,Queenscliff Harbour,4,95.06,
8,5,1,Queenscliff Harbour,4,107.55,
8,6,1,Queenscliff Harbour,4,107.26,
9,1,1,Queenscliff Harbour,4,99.55,0.03
9,2,1,Queenscliff Harbour,4,98.55,0.04
9,3,1,Queenscliff Harbour,4,102.73,0.04
9,4,1,Queenscliff Harbour,4,105.69,
9,5,1,Queenscliff Harbour,4,100.84,
9,6,1,Queenscliff Harbour,4,101.67,
10,1,1,Queenscliff Harbour,4,94.23,0.07
10,2,1,Queenscliff Harbour,4,94.61,0.07
10,3,1,Queenscliff Harbour,4,105.95,0.08
10,4,1,Queenscliff Harbour,4,102.88,
10,5,1,Queenscliff Harbour,4,98.41,
10,6,1,Queenscliff Harbour,4,97.61,
11,1,1,Queenscliff Harbour,4,94.72,0.01
11,2,1,Queenscliff Harbour,4,94.61,0.02
11,3,1,Queenscliff Harbour,4,103.40,0.01
11,4,1,Queenscliff Harbour,4,0.36,
11,5,1,Queenscliff Harbour,4,97.91,
11,6,1,Queenscliff Harbour,4,93.28,
12,1,1,Queenscliff Harbour,4,99.33,0.04
12,2,1,Queenscliff Harbour,4,99.29,0.04
12,3,1,Queenscliff Harbour,4,99.28,0.04
12,4,1,Queenscliff Harbour,4,99.27,
12,5,1,Queenscliff Harbour,4,99.25,
12,6,1,Queenscliff Harbour,4,96.38,
1,1,2,Queenscliff Harbour,4,81.52,0.02
1,2,2,Queenscliff Harbour,4,85.69,0.07
1,3,2,Queenscliff Harbour,4,96.03,0.04
1,4,2,Queenscliff Harbour,4,94.64,
1,5,2,Queenscliff Harbour,4,91.63,
1,6,2,Queenscliff Harbour,4,93.75,
2,1,2,Queenscliff Harbour,4,84.46,0.03
2,2,2,Queenscliff Harbour,4,96.73,0.02
2,3,2,Queenscliff Harbour,4,98.82,0.03
2,4,2,Queenscliff Harbour,4,97.35,
2,5,2,Queenscliff Harbour,4,95.91,
2,6,2,Queenscliff Harbour,4,98.70,
3,1,2,Queenscliff Harbour,4,89.38,0.05
3,2,2,Queenscliff Harbour,4,93.71,0.05
3,3,2,Queenscliff Harbour,4,87.27,0.04
3,4,2,Queenscliff Harbour,4,75.77,
3,5,2,Queenscliff Harbour,4,88.37,
3,6,2,Queenscliff Harbour,4,82.88,
4,1,2,Queenscliff Harbour,4,81.03,0.02
4,2,2,Queenscliff Harbour,4,94.25,0.04
4,3,2,Queenscliff Harbour,4,95.15,0.02
4,4,2,Queenscliff Harbour,4,94.51,
4,5,2,Queenscliff Harbour,4,88.71,
4,6,2,Queenscliff Harbour,4,94.41,
5,1,2,Queenscliff Harbour,4,77.86,0.03
5,2,2,Queenscliff Harbour,4,87.07,0.02
5,3,2,Queenscliff Harbour,4,95.84,0.02
5,4,2,Queenscliff Harbour,4,95.60,
5,5,2,Queenscliff Harbour,4,85.22,
5,6,2,Queenscliff Harbour,4,94.28,
6,1,2,Queenscliff Harbour,4,57.86,0.18
6,2,2,Queenscliff Harbour,4,89.45,0.06
6,3,2,Queenscliff Harbour,4,91.24,0.08
6,4,2,Queenscliff Harbour,4,80.09,
6,5,2,Queenscliff Harbour,4,95.66,
6,6,2,Queenscliff Harbour,4,91.92,
7,1,2,Queenscliff Harbour,4,91.51,0.01
7,2,2,Queenscliff Harbour,4,97.06,0.02
7,3,2,Queenscliff Harbour,4,95.32,0.01
7,4,2,Queenscliff Harbour,4,87.00,
7,5,2,Queenscliff Harbour,4,93.32,
7,6,2,Queenscliff Harbour,4,95.74,
8,1,2,Queenscliff Harbour,4,88.01,0.02
8,2,2,Queenscliff Harbour,4,95.58,0.02
8,3,2,Queenscliff Harbour,4,97.71,0.03
8,4,2,Queenscliff Harbour,4,98.19,
8,5,2,Queenscliff Harbour,4,90.62,
8,6,2,Queenscliff Harbour,4,97.71,
9,1,2,Queenscliff Harbour,4,84.87,0.04
9,2,2,Queenscliff Harbour,4,90.62,0.03
9,3,2,Queenscliff Harbour,4,95.23,0.03
9,4,2,Queenscliff Harbour,4,76.00,
9,5,2,Queenscliff Harbour,4,89.69,
9,6,2,Queenscliff Harbour,4,96.43,
10,1,2,Queenscliff Harbour,4,91.26,0.03
10,2,2,Queenscliff Harbour,4,91.57,0.04
10,3,2,Queenscliff Harbour,4,94.56,0.03
10,4,2,Queenscliff Harbour,4,81.96,
10,5,2,Queenscliff Harbour,4,66.36,
10,6,2,Queenscliff Harbour,4,92.05,
11,1,2,Queenscliff Harbour,4,91.88,0.01
11,2,2,Queenscliff Harbour,4,92.79,0.01
11,3,2,Queenscliff Harbour,4,93.29,0.01
11,4,2,Queenscliff Harbour,4,90.52,
11,5,2,Queenscliff Harbour,4,94.28,
11,6,2,Queenscliff Harbour,4,92.62,
12,1,2,Queenscliff Harbour,4,90.93,0.01
12,2,2,Queenscliff Harbour,4,92.02,0.02
12,3,2,Queenscliff Harbour,4,93.15,0.02
12,4,2,Queenscliff Harbour,4,91.37,
12,5,2,Queenscliff Harbour,4,91.63,
12,6,2,Queenscliff Harbour,4,92.14,
1,1,3,Queenscliff Harbour,4,81.76,0.05
1,2,3,Queenscliff Harbour,4,89.42,0.04
1,3,3,Queenscliff Harbour,4,95.45,0.04
1,4,3,Queenscliff Harbour,4,96.22,
1,5,3,Queenscliff Harbour,4,95.35,
1,6,3,Queenscliff Harbour,4,96.24,
2,1,3,Queenscliff Harbour,4,99.15,0.04
2,2,3,Queenscliff Harbour,4,99.53,0.04
2,3,3,Queenscliff Harbour,4,101.19,0.05
2,4,3,Queenscliff Harbour,4,99.61,
2,5,3,Queenscliff Harbour,4,100.23,
2,6,3,Queenscliff Harbour,4,100.46,
3,1,3,Queenscliff Harbour,4,93.65,0.09
3,2,3,Queenscliff Harbour,4,96.66,0.07
3,3,3,Queenscliff Harbour,4,97.20,0.10
3,4,3,Queenscliff Harbour,4,96.54,
3,5,3,Queenscliff Harbour,4,97.94,
3,6,3,Queenscliff Harbour,4,98.75,
4,1,3,Queenscliff Harbour,4,98.37,0.09
4,2,3,Queenscliff Harbour,4,98.94,0.10
4,3,3,Queenscliff Harbour,4,99.80,0.10
4,4,3,Queenscliff Harbour,4,101.54,
4,5,3,Queenscliff Harbour,4,101.51,
4,6,3,Queenscliff Harbour,4,102.01,
5,1,3,Queenscliff Harbour,4,97.40,0.02
5,2,3,Queenscliff Harbour,4,98.74,0.02
5,3,3,Queenscliff Harbour,4,99.17,0.02
5,4,3,Queenscliff Harbour,4,94.17,
5,5,3,Queenscliff Harbour,4,95.63,
5,6,3,Queenscliff Harbour,4,95.77,
6,1,3,Queenscliff Harbour,4,91.12,0.04
6,2,3,Queenscliff Harbour,4,91.78,0.04
6,3,3,Queenscliff Harbour,4,79.45,0.04
6,4,3,Queenscliff Harbour,4,91.78,
6,5,3,Queenscliff Harbour,4,98.28,
6,6,3,Queenscliff Harbour,4,86.15,
7,1,3,Queenscliff Harbour,4,79.60,0.02
7,2,3,Queenscliff Harbour,4,101.84,0.02
7,3,3,Queenscliff Harbour,4,102.03,0.02
7,4,3,Queenscliff Harbour,4,110.11,
7,5,3,Queenscliff Harbour,4,109.56,
7,6,3,Queenscliff Harbour,4,102.99,
8,1,3,Queenscliff Harbour,4,50.90,0.02
8,2,3,Queenscliff Harbour,4,79.62,0.03
8,3,3,Queenscliff Harbour,4,96.06,0.02
8,4,3,Queenscliff Harbour,4,96.85,
8,5,3,Queenscliff Harbour,4,98.19,
8,6,3,Queenscliff Harbour,4,97.65,
9,1,3,Queenscliff Harbour,4,50.86,0.05
9,2,3,Queenscliff Harbour,4,72.25,0.03
9,3,3,Queenscliff Harbour,4,94.35,0.03
9,4,3,Queenscliff Harbour,4,51.18,
9,5,3,Queenscliff Harbour,4,91.75,
9,6,3,Queenscliff Harbour,4,94.01,
10,1,3,Queenscliff Harbour,4,93.56,0.04
10,2,3,Queenscliff Harbour,4,91.72,0.03
10,3,3,Queenscliff Harbour,4,92.56,0.04
10,4,3,Queenscliff Harbour,4,91.72,
10,5,3,Queenscliff Harbour,4,89.54,
10,6,3,Queenscliff Harbour,4,95.30,
11,1,3,Queenscliff Harbour,4,91.38,0.01
11,2,3,Queenscliff Harbour,4,91.47,0.01
11,3,3,Queenscliff Harbour,4,62.34,0.01
11,4,3,Queenscliff Harbour,4,90.48,
11,5,3,Queenscliff Harbour,4,89.20,
11,6,3,Queenscliff Harbour,4,66.21,
12,1,3,Queenscliff Harbour,4,84.38,0.01
12,2,3,Queenscliff Harbour,4,81.32,0.02
12,3,3,Queenscliff Harbour,4,93.09,0.01
12,4,3,Queenscliff Harbour,4,77.29,
12,5,3,Queenscliff Harbour,4,91.56,
12,6,3,Queenscliff Harbour,4,92.18,
1,1,4,Queenscliff Harbour,4,59.86,0.07
1,2,4,Queenscliff Harbour,4,65.75,0.04
1,3,4,Queenscliff Harbour,4,90.68,0.06
1,4,4,Queenscliff Harbour,4,91.76,
1,5,4,Queenscliff Harbour,4,89.86,
1,6,4,Queenscliff Harbour,4,91.61,
2,1,4,Queenscliff Harbour,4,34.45,0.02
2,2,4,Queenscliff Harbour,4,87.32,0.04
2,3,4,Queenscliff Harbour,4,87.88,0.05
2,4,4,Queenscliff Harbour,4,86.73,
2,5,4,Queenscliff Harbour,4,87.98,
2,6,4,Queenscliff Harbour,4,90.34,
3,1,4,Queenscliff Harbour,4,66.37,0.04
3,2,4,Queenscliff Harbour,4,84.33,0.04
3,3,4,Queenscliff Harbour,4,85.28,0.04
3,4,4,Queenscliff Harbour,4,84.31,
3,5,4,Queenscliff Harbour,4,74.53,
3,6,4,Queenscliff Harbour,4,79.32,
4,1,4,Queenscliff Harbour,4,24.28,0.02
4,2,4,Queenscliff Harbour,4,71.48,0.01
4,3,4,Queenscliff Harbour,4,71.85,0.02
4,4,4,Queenscliff Harbour,4,71.48,
4,5,4,Queenscliff Harbour,4,64.80,
4,6,4,Queenscliff Harbour,4,73.95,
5,1,4,Queenscliff Harbour,4,59.40,0.03
5,2,4,Queenscliff Harbour,4,61.78,0.05
5,3,4,Queenscliff Harbour,4,84.86,0.04
5,4,4,Queenscliff Harbour,4,88.64,
5,5,4,Queenscliff Harbour,4,89.58,
5,6,4,Queenscliff Harbour,4,90.81,
6,1,4,Queenscliff Harbour,4,11.79,0.08
6,2,4,Queenscliff Harbour,4,72.66,0.06
6,3,4,Queenscliff Harbour,4,89.30,0.05
6,4,4,Queenscliff Harbour,4,90.18,
6,5,4,Queenscliff Harbour,4,92.52,
6,6,4,Queenscliff Harbour,4,88.93,
7,1,4,Queenscliff Harbour,4,76.06,0.04
7,2,4,Queenscliff Harbour,4,91.71,0.03
7,3,4,Queenscliff Harbour,4,90.37,0.04
7,4,4,Queenscliff Harbour,4,91.60,
7,5,4,Queenscliff Harbour,4,89.97,
7,6,4,Queenscliff Harbour,4,91.96,
8,1,4,Queenscliff Harbour,4,84.37,0.06
8,2,4,Queenscliff Harbour,4,85.65,0.04
8,3,4,Queenscliff Harbour,4,71.04,0.04
8,4,4,Queenscliff Harbour,4,63.11,
8,5,4,Queenscliff Harbour,4,64.76,
8,6,4,Queenscliff Harbour,4,91.51,
9,1,4,Queenscliff Harbour,4,0.41,0.05
9,2,4,Queenscliff Harbour,4,90.23,0.06
9,3,4,Queenscliff Harbour,4,87.18,0.05
9,4,4,Queenscliff Harbour,4,85.14,
9,5,4,Queenscliff Harbour,4,86.22,
9,6,4,Queenscliff Harbour,4,91.92,
10,1,4,Queenscliff Harbour,4,50.39,0.11
10,2,4,Queenscliff Harbour,4,70.84,0.13
10,3,4,Queenscliff Harbour,4,88.48,0.23
10,4,4,Queenscliff Harbour,4,92.56,
10,5,4,Queenscliff Harbour,4,91.73,
10,6,4,Queenscliff Harbour,4,88.88,
11,1,4,Queenscliff Harbour,4,71.66,0.04
11,2,4,Queenscliff Harbour,4,91.38,0.04
11,3,4,Queenscliff Harbour,4,89.39,0.03
11,4,4,Queenscliff Harbour,4,87.87,
11,5,4,Queenscliff Harbour,4,93.62,
11,6,4,Queenscliff Harbour,4,80.99,
12,1,4,Queenscliff Harbour,4,88.31,0.02
12,2,4,Queenscliff Harbour,4,91.22,0.02
12,3,4,Queenscliff Harbour,4,89.33,0.01
12,4,4,Queenscliff Harbour,4,90.94,
12,5,4,Queenscliff Harbour,4,91.04,
12,6,4,Queenscliff Harbour,4,91.18,
1,1,5,Queenscliff Harbour,4,93.57,0.03
1,2,5,Queenscliff Harbour,4,91.56,0.03
1,3,5,Queenscliff Harbour,4,99.32,0.03
1,4,5,Queenscliff Harbour,4,95.91,
1,5,5,Queenscliff Harbour,4,85.74,
1,6,5,Queenscliff Harbour,4,88.96,
2,1,5,Queenscliff Harbour,4,104.45,0.08
2,2,5,Queenscliff Harbour,4,106.35,0.07
2,3,5,Queenscliff Harbour,4,103.39,0.09
2,4,5,Queenscliff Harbour,4,95.72,
2,5,5,Queenscliff Harbour,4,93.72,
2,6,5,Queenscliff Harbour,4,99.43,
3,1,5,Queenscliff Harbour,4,99.97,0.03
3,2,5,Queenscliff Harbour,4,99.18,0.05
3,3,5,Queenscliff Harbour,4,97.09,0.03
3,4,5,Queenscliff Harbour,4,77.18,
3,5,5,Queenscliff Harbour,4,86.34,
3,6,5,Queenscliff Harbour,4,49.73,
4,1,5,Queenscliff Harbour,4,100.63,0.01
4,2,5,Queenscliff Harbour,4,101.13,0.02
4,3,5,Queenscliff Harbour,4,101.22,0.00
4,4,5,Queenscliff Harbour,4,100.69,
4,5,5,Queenscliff Harbour,4,88.82,
4,6,5,Queenscliff Harbour,4,99.60,
5,1,5,Queenscliff Harbour,4,53.73,0.03
5,2,5,Queenscliff Harbour,4,84.40,0.04
5,3,5,Queenscliff Harbour,4,99.05,0.04
5,4,5,Queenscliff Harbour,4,96.27,
5,5,5,Queenscliff Harbour,4,52.64,
5,6,5,Queenscliff Harbour,4,88.92,
6,1,5,Queenscliff Harbour,4,96.40,0.02
6,2,5,Queenscliff Harbour,4,96.06,0.03
6,3,5,Queenscliff Harbour,4,99.81,0.02
6,4,5,Queenscliff Harbour,4,97.11,
6,5,5,Queenscliff Harbour,4,85.54,
6,6,5,Queenscliff Harbour,4,88.36,
7,1,5,Queenscliff Harbour,4,95.63,0.01
7,2,5,Queenscliff Harbour,4,95.19,0.01
7,3,5,Queenscliff Harbour,4,99.37,0.01
7,4,5,Queenscliff Harbour,4,96.30,
7,5,5,Queenscliff Harbour,4,85.61,
7,6,5,Queenscliff Harbour,4,88.73,
8,1,5,Queenscliff Harbour,4,105.27,0.01
8,2,5,Queenscliff Harbour,4,104.20,0.01
8,3,5,Queenscliff Harbour,4,104.89,0.01
8,4,5,Queenscliff Harbour,4,137.75,
8,5,5,Queenscliff Harbour,4,91.98,
8,6,5,Queenscliff Harbour,4,94.43,
9,1,5,Queenscliff Harbour,4,98.97,0.00
9,2,5,Queenscliff Harbour,4,98.03,0.01
9,3,5,Queenscliff Harbour,4,51.85,0.02
9,4,5,Queenscliff Harbour,4,87.82,
9,5,5,Queenscliff Harbour,4,81.97,
9,6,5,Queenscliff Harbour,4,18.56,
10,1,5,Queenscliff Harbour,4,100.76,0.02
10,2,5,Queenscliff Harbour,4,99.68,0.03
10,3,5,Queenscliff Harbour,4,100.27,0.02
10,4,5,Queenscliff Harbour,4,96.65,
10,5,5,Queenscliff Harbour,4,86.90,
10,6,5,Queenscliff Harbour,4,89.24,
11,1,5,Queenscliff Harbour,4,99.41,0.02
11,2,5,Queenscliff Harbour,4,99.43,0.01
11,3,5,Queenscliff Harbour,4,100.47,0.01
11,4,5,Queenscliff Harbour,4,97.57,
11,5,5,Queenscliff Harbour,4,65.48,
11,6,5,Queenscliff Harbour,4,82.80,
12,1,5,Queenscliff Harbour,4,92.56,0.02
12,2,5,Queenscliff Harbour,4,86.29,0.01
12,3,5,Queenscliff Harbour,4,88.55,0.01
12,4,5,Queenscliff Harbour,4,98.09,
12,5,5,Queenscliff Harbour,4,88.85,
12,6,5,Queenscliff Harbour,4,98.32,
1,1,1,St Kilda,1,63.44,0.02
1,2,1,St Kilda,1,93.67,0.03
1,3,1,St Kilda,1,89.47,0.02
1,4,1,St Kilda,1,94.81,
1,5,1,St Kilda,1,93.56,
1,6,1,St Kilda,1,94.17,
2,1,1,St Kilda,1,92.68,0.03
2,2,1,St Kilda,1,91.42,0.04
2,3,1,St Kilda,1,88.92,0.02
2,4,1,St Kilda,1,93.35,
2,5,1,St Kilda,1,94.39,
2,6,1,St Kilda,1,89.73,
3,1,1,St Kilda,1,92.27,0.04
3,2,1,St Kilda,1,72.92,0.03
3,3,1,St Kilda,1,83.53,0.04
3,4,1,St Kilda,1,84.73,
3,5,1,St Kilda,1,72.90,
3,6,1,St Kilda,1,91.28,
4,1,1,St Kilda,1,25.65,0.01
4,2,1,St Kilda,1,48.37,0.01
4,3,1,St Kilda,1,95.21,0.03
4,4,1,St Kilda,1,79.69,
4,5,1,St Kilda,1,87.95,
4,6,1,St Kilda,1,91.54,
5,1,1,St Kilda,1,23.43,0.02
5,2,1,St Kilda,1,102.21,0.03
5,3,1,St Kilda,1,84.74,0.02
5,4,1,St Kilda,1,0.55,
5,5,1,St Kilda,1,88.86,
5,6,1,St Kilda,1,77.44,
6,1,1,St Kilda,1,6.20,0.01
6,2,1,St Kilda,1,89.29,0.02
6,3,1,St Kilda,1,77.79,0.01
6,4,1,St Kilda,1,73.12,
6,5,1,St Kilda,1,89.06,
6,6,1,St Kilda,1,73.67,
7,1,1,St Kilda,1,85.53,0.01
7,2,1,St Kilda,1,84.91,0.01
7,3,1,St Kilda,1,71.44,0.01
7,4,1,St Kilda,1,70.56,
7,5,1,St Kilda,1,87.93,
7,6,1,St Kilda,1,87.14,
8,1,1,St Kilda,1,57.16,0.01
8,2,1,St Kilda,1,18.16,0.01
8,3,1,St Kilda,1,88.47,0.01
8,4,1,St Kilda,1,88.32,
8,5,1,St Kilda,1,91.94,
8,6,1,St Kilda,1,91.93,
9,1,1,St Kilda,1,98.85,0.04
9,2,1,St Kilda,1,93.82,0.03
9,3,1,St Kilda,1,97.68,0.00
9,4,1,St Kilda,1,97.69,
9,5,1,St Kilda,1,95.36,
9,6,1,St Kilda,1,92.81,
10,1,1,St Kilda,1,87.91,0.05
10,2,1,St Kilda,1,95.14,0.03
10,3,1,St Kilda,1,90.49,0.05
10,4,1,St Kilda,1,96.89,
10,5,1,St Kilda,1,60.46,
10,6,1,St Kilda,1,96.75,
11,1,1,St Kilda,1,63.77,0.03
11,2,1,St Kilda,1,83.61,0.03
