Spot,Sample,Day,Location,LocationNum,%AS,Flow (m*s-1)
9,3,2,Blairgowrie,3,91.55,0.04
9,4,2,Blairgowrie,3,95.54,
9,5,2,Blairgowrie,3,91.38,
9,6,2,Blairgowrie,3,102.45,
10,1,2,Blairgowrie,3,13.07,0.03
10,2,2,Blairgowrie,3,94.34,0.01
10,3,2,Blairgowrie,3,93.67,0.05
10,4,2,Blairgowrie,3,91.06,
10,5,2,Blairgowrie,3,95.08,
10,6,2,Blairgowrie,3,94.07,
11,1,2,Blairgowrie,3,93.54,0.04
11,2,2,Blairgowrie,3,85.57,0.05
11,3,2,Blairgowrie,3,96.88,0.06
11,4,2,Blairgowrie,3,96.39,
11,5,2,Blairgowrie,3,97.30,
11,6,2,Blairgowrie,3,92.61,
12,1,2,Blairgowrie,3,91.57,0.04
12,2,2,Blairgowrie,3,93.60,0.05
12,3,2,Blairgowrie,3,92.45,0.06
12,4,2,Blairgowrie,3,91.74,
12,5,2,Blairgowrie,3,94.99,
12,6,2,Blairgowrie,3,95.92,
1,1,3,Blairgowrie,3,96.05,0.04
1,2,3,Blairgowrie,3,92.05,0.05
1,3,3,Blairgowrie,3,68.54,0.03
1,4,3,Blairgowrie,3,100.37,
1,5,3,Blairgowrie,3,89.95,
1,6,3,Blairgowrie,3,98.89,
2,1,3,Blairgowrie,3,98.15,0.03
2,2,3,Blairgowrie,3,98.22,0.04
2,3,3,Blairgowrie,3,99.03,0.05
2,4,3,Blairgowrie,3,30.52,
2,5,3,Blairgowrie,3,99.61,
2,6,3,Blairgowrie,3,85.38,
3,1,3,Blairgowrie,3,96.86,0.02
3,2,3,Blairgowrie,3,95.48,0.02
3,3,3,Blairgowrie,3,100.56,0.03
3,4,3,Blairgowrie,3,1.54,
3,5,3,Blairgowrie,3,75.35,
3,6,3,Blairgowrie,3,51.72,
4,1,3,Blairgowrie,3,89.45,0.03
4,2,3,Blairgowrie,3,83.37,0.03
4,3,3,Blairgowrie,3,99.03,0.02
4,4,3,Blairgowrie,3,98.62,
4,5,3,Blairgowrie,3,99.19,
4,6,3,Blairgowrie,3,96.83,
5,1,3,Blairgowrie,3,94.91,0.02
5,2,3,Blairgowrie,3,92.77,0.01
5,3,3,Blairgowrie,3,98.66,0.02
5,4,3,Blairgowrie,3,98.52,
5,5,3,Blairgowrie,3,51.54,
5,6,3,Blairgowrie,3,96.47,
6,1,3,Blairgowrie,3,92.31,0.01
6,2,3,Blairgowrie,3,89.79,0.01
6,3,3,Blairgowrie,3,97.73,0.02
6,4,3,Blairgowrie,3,1.42,
6,5,3,Blairgowrie,3,97.68,
6,6,3,Blairgowrie,3,40.84,
7,1,3,Blairgowrie,3,97.90,0.04
7,2,3,Blairgowrie,3,99.37,0.03
7,3,3,Blairgowrie,3,99.28,0.03
7,4,3,Blairgowrie,3,91.06,
7,5,3,Blairgowrie,3,76.19,
7,6,3,Blairgowrie,3,98.89,
8,1,3,Blairgowrie,3,93.92,0.02
8,2,3,Blairgowrie,3,95.08,0.03
8,3,3,Blairgowrie,3,94.59,0.05
8,4,3,Blairgowrie,3,98.93,
8,5,3,Blairgowrie,3,99.58,
8,6,3,Blairgowrie,3,99.87,
9,1,3,Blairgowrie,3,101.68,0.03
9,2,3,Blairgowrie,3,101.38,0.03
9,3,3,Blairgowrie,3,98.67,0.03
9,4,3,Blairgowrie,3,84.80,
9,5,3,Blairgowrie,3,92.42,
9,6,3,Blairgowrie,3,97.82,
10,1,3,Blairgowrie,3,101.58,0.03
10,2,3,Blairgowrie,3,102.81,0.03
10,3,3,Blairgowrie,3,67.52,0.05
10,4,3,Blairgowrie,3,93.71,
10,5,3,Blairgowrie,3,79.53,
10,6,3,Blairgowrie,3,96.11,
11,1,3,Blairgowrie,3,102.07,0.05
11,2,3,Blairgowrie,3,100.05,0.05
11,3,3,Blairgowrie,3,84.44,0.05
11,4,3,Blairgowrie,3,84.36,
11,5,3,Blairgowrie,3,68.52,
11,6,3,Blairgowrie,3,93.59,
12,1,3,Blairgowrie,3,91.81,0.06
12,2,3,Blairgowrie,3,93.82,0.05
12,3,3,Blairgowrie,3,71.99,0.05
12,4,3,Blairgowrie,3,97.10,
12,5,3,Blairgowrie,3,98.16,
12,6,3,Blairgowrie,3,98.63,
1,1,4,Blairgowrie,3,90.46,0.03
1,2,4,Blairgowrie,3,85.39,0.02
1,3,4,Blairgowrie,3,61.06,0.04
1,4,4,Blairgowrie,3,95.53,
1,5,4,Blairgowrie,3,70.44,
1,6,4,Blairgowrie,3,98.77,
2,1,4,Blairgowrie,3,90.85,0.03
2,2,4,Blairgowrie,3,93.58,0.02
2,3,4,Blairgowrie,3,52.13,0.04
2,4,4,Blairgowrie,3,67.75,
2,5,4,Blairgowrie,3,75.49,
2,6,4,Blairgowrie,3,96.65,
3,1,4,Blairgowrie,3,85.12,0.02
3,2,4,Blairgowrie,3,87.57,0.02
3,3,4,Blairgowrie,3,21.32,0.02
3,4,4,Blairgowrie,3,94.64,
3,5,4,Blairgowrie,3,98.93,
3,6,4,Blairgowrie,3,97.89,
4,1,4,Blairgowrie,3,92.33,0.01
4,2,4,Blairgowrie,3,88.94,0.02
4,3,4,Blairgowrie,3,96.60,0.02
4,4,4,Blairgowrie,3,94.76,
4,5,4,Blairgowrie,3,99.32,
4,6,4,Blairgowrie,3,99.31,
5,1,4,Blairgowrie,3,99.10,0.01
